unid;rept;metodo;arg;sil;argsil;are1;are2;are3;are4;are5;silic;alumi;ferro;co;dp;ds
5;1;Ultsom;517;55;572;1;28;226;146;27;92;213;78;7.7;2.67;0.9846324665
5;2;Ultsom;517;55;572;1;28;226;146;27;92;213;78;8;2.67;1.0481906981
5;3;Ultsom;517;55;572;1;28;226;146;27;92;213;78;8.1;2.67;1.11705722
5;4;Ultsom;517;55;572;1;28;226;146;27;92;213;78;7.8;2.67;1.100039212
6;1;Ultsom;519;6;525;1;17;200;229;29;41;173;177;6.4;2.81;1.1271032379
6;2;Ultsom;519;6;525;1;17;200;229;29;41;173;177;6.3;2.81;1.0784604525
6;3;Ultsom;519;6;525;1;17;200;229;29;41;173;177;6;2.81;1.0413515418
6;4;Ultsom;519;6;525;1;17;200;229;29;41;173;177;6.7;2.81;1.0966263232
7;1;Ultsom;544;95;639;1;16;195;133;16;56;204;231;9;2.95;0.9801116852
7;2;Ultsom;544;95;639;1;16;195;133;16;56;204;231;9.7;2.95;0.9931826806
7;3;Ultsom;544;95;639;1;16;195;133;16;56;204;231;9.5;2.95;0.9910229292
7;4;Ultsom;544;95;639;1;16;195;133;16;56;204;231;9.2;2.95;0.9250915526
8;1;Ultsom;563;91;654;2;25;154;139;24;90;179;298;13.4;2.92;0.960883043
8;2;Ultsom;563;91;654;2;25;154;139;24;90;179;298;12.9;2.92;1.0338486112
8;3;Ultsom;563;91;654;2;25;154;139;24;90;179;298;13.3;2.92;0.9843100928
8;4;Ultsom;563;91;654;2;25;154;139;24;90;179;298;13.1;2.92;0.8810435823
9;1;Ultsom;662;89;751;2;17;111;102;18;87;205;245;12.4;2.92;0.9559038624
9;2;Ultsom;662;89;751;2;17;111;102;18;87;205;245;12.2;2.92;0.972405761
9;3;Ultsom;662;89;751;2;17;111;102;18;87;205;245;12.5;2.92;0.8994906824
9;4;Ultsom;662;89;751;2;17;111;102;18;87;205;245;12.5;2.92;0.9678301287
10;1;Ultsom;822;61;883;0;4;51;55;7;180;344;105;10.3;2.69;0.8108130937
10;2;Ultsom;822;61;883;0;4;51;55;7;180;344;105;9.9;2.69;0.7866817746
10;3;Ultsom;822;61;883;0;4;51;55;7;180;344;105;11;2.69;0.8063096973
10;4;Ultsom;822;61;883;0;4;51;55;7;180;344;105;10.4;2.69;0.7741652561
