biocar;dosep;bloc;tens;umid
SP;1.5;III;8;0.196
SP;1.5;III;10;0.181
SP;1.5;III;33;0.125
SP;1.5;III;66;0.113
SP;1.5;III;100;0.107
SP;1.5;III;300;0.109
SP;1.5;III;1500;0.097
SP;3;I;0;0.51
SP;3;I;1;0.435
SP;3;I;2;0.399
SP;3;I;4;0.362
SP;3;I;6;0.259
SP;3;I;8;0.216
SP;3;I;10;0.195
SP;3;I;33;0.147
SP;3;I;66;0.136
SP;3;I;100;0.128
SP;3;I;300;0.127
SP;3;I;1500;0.095
SP;3;II;0;0.499
SP;3;II;1;0.449
SP;3;II;2;0.412
SP;3;II;4;0.318
SP;3;II;6;0.206
SP;3;II;8;0.184
SP;3;II;10;0.155
SP;3;II;33;0.144
SP;3;II;66;0.138
SP;3;II;100;0.134
SP;3;II;300;0.127
SP;3;II;1500;0.097
SP;3;III;0;0.496
SP;3;III;1;0.434
SP;3;III;2;0.38
SP;3;III;4;0.32
SP;3;III;6;0.224
SP;3;III;8;0.185
SP;3;III;10;0.17
SP;3;III;33;0.139
SP;3;III;66;0.135
SP;3;III;100;0.129
SP;3;III;300;0.121
SP;3;III;1500;0.098
SP;6;I;0;0.47
SP;6;I;1;0.426
SP;6;I;2;0.389
SP;6;I;4;0.356
SP;6;I;6;0.277
SP;6;I;8;0.213
SP;6;I;10;0.181
SP;6;I;33;0.168
SP;6;I;66;0.153
SP;6;I;100;0.142
SP;6;I;300;0.134
SP;6;I;1500;0.115
SP;6;II;0;0.471
SP;6;II;1;0.4
SP;6;II;2;0.346
SP;6;II;4;0.296
SP;6;II;6;0.221
SP;6;II;8;0.175
SP;6;II;10;0.149
SP;6;II;33;0.135
SP;6;II;66;0.134
SP;6;II;100;0.12
SP;6;II;300;0.118
SP;6;II;1500;0.097
SP;6;III;0;0.445
SP;6;III;1;0.418
SP;6;III;2;0.376
SP;6;III;4;0.33
SP;6;III;6;0.205
SP;6;III;8;0.17
SP;6;III;10;0.155
SP;6;III;33;0.139
SP;6;III;66;0.137
SP;6;III;100;0.125
SP;6;III;300;0.125
SP;6;III;1500;0.105
SP;12;I;0;0.493
SP;12;I;1;0.454
