solo;tensao;posi;prof;rep;dsi;dsp;thetai;ppc;trt;ue
LVd;3000;Entrelinha;0.00-0.05 m;3;0.95;0.97;0.12;489.3687;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_3
LVd;3000;Entrelinha;0.10-0.15 m;1;0.87;0.88;0.08;392.0232;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_1
LVd;3000;Entrelinha;0.10-0.15 m;2;1.06;1.08;0.16;362.9534;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_2
LVd;3000;Entrelinha;0.10-0.15 m;3;0.91;0.92;0.12;385.5329;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_3
LVd;3000;Entrelinha;0.20-0.25 m;1;0.86;0.9;0.09;391.7518;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_1
LVd;3000;Entrelinha;0.20-0.25 m;2;0.92;0.94;0.13;356.8642;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_2
LVd;3000;Entrelinha;0.20-0.25 m;3;0.84;0.86;0.09;406.2489;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_3
LVd;3000;Linha;0.00-0.05 m;1;0.82;0.98;0.34;303.5756;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_1
LVd;3000;Linha;0.00-0.05 m;2;0.85;0.87;0.09;362.8524;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_2
LVd;3000;Linha;0.00-0.05 m;3;0.87;0.92;0.17;385.3368;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_3
LVd;3000;Linha;0.10-0.15 m;1;0.84;0.86;0.09;363.2582;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_1
LVd;3000;Linha;0.10-0.15 m;2;0.86;0.89;0.09;374.7892;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_2
LVd;3000;Linha;0.10-0.15 m;3;0.92;0.94;0.17;392.8351;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_3
LVd;3000;Linha;0.20-0.25 m;1;0.89;0.91;0.1;388.2308;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_1
LVd;3000;Linha;0.20-0.25 m;2;0.86;0.87;0.08;366.485;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_2
LVd;3000;Linha;0.20-0.25 m;3;0.83;0.85;0.09;372.5307;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_3
LVAd;6;Entrelinha;0.00-0.05 m;1;0.92;0.93;0.4131404623;63.0312;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_1
LVAd;6;Entrelinha;0.00-0.05 m;2;1.05;1.11;0.402379536;102.2148;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_2
LVAd;6;Entrelinha;0.00-0.05 m;3;1.05;1.13;0.4136119403;133.294;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_3
LVAd;6;Entrelinha;0.10-0.15 m;1;1.12;1.18;0.4036334913;129.102;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_1
LVAd;6;Entrelinha;0.10-0.15 m;2;0.98;1.08;0.3927853161;78.1824;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_2
LVAd;6;Entrelinha;0.10-0.15 m;3;1;1.1;0.3928883344;101.7083;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_3
LVAd;6;Entrelinha;0.20-0.25 m;1;1.01;1.1;0.4277722526;77.2439;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_1
LVAd;6;Entrelinha;0.20-0.25 m;2;0.98;1.08;0.4059097978;96.0076;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_2
LVAd;6;Entrelinha;0.20-0.25 m;3;1.13;1.15;0.3684560781;77.772;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_3
LVAd;6;Linha;0.00-0.05 m;1;0.97;1.05;0.4056761269;63.3542;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_1
LVAd;6;Linha;0.00-0.05 m;2;0.92;1;0.3850906096;85.4758;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_2
LVAd;6;Linha;0.00-0.05 m;3;0.95;1.04;0.3793822494;66.781;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_3
LVAd;6;Linha;0.10-0.15 m;1;0.91;0.95;0.4159520893;86.8912;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_1
LVAd;6;Linha;0.10-0.15 m;2;0.87;1.08;0.4007076515;140.5126;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_2
LVAd;6;Linha;0.10-0.15 m;3;0.95;1.07;0.3908459758;118.4205;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_3
LVAd;6;Linha;0.20-0.25 m;1;0.99;1.1;0.4021356784;91.7363;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_1
LVAd;6;Linha;0.20-0.25 m;2;0.93;1.07;0.4144773617;95.1446;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_2
LVAd;6;Linha;0.20-0.25 m;3;1.15;1.2;0.3644171779;91.6514;LVAd_Linha_0.20-0.25 m;LVAd_Linha_0.20-0.25 m_3
LVAd;33;Entrelinha;0.00-0.05 m;1;1.14;1.14;0.46;212.4651;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_1
LVAd;33;Entrelinha;0.00-0.05 m;2;1;1.01;0.41;51.5537;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_2
LVAd;33;Entrelinha;0.00-0.05 m;3;0.99;0.99;0.4;59.5419;LVAd_Entrelinha_0.00-0.05 m;LVAd_Entrelinha_0.00-0.05 m_3
LVAd;33;Entrelinha;0.10-0.15 m;1;1.1;1.11;0.41;82.8389;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_1
LVAd;33;Entrelinha;0.10-0.15 m;2;0.95;1.02;0.34;67.8193;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_2
LVAd;33;Entrelinha;0.10-0.15 m;3;1.03;1.13;0.36;83.876;LVAd_Entrelinha_0.10-0.15 m;LVAd_Entrelinha_0.10-0.15 m_3
LVAd;33;Entrelinha;0.20-0.25 m;1;0.95;1.03;0.36;82.7323;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_1
LVAd;33;Entrelinha;0.20-0.25 m;2;1.04;1.07;0.37;89.2965;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_2
LVAd;33;Entrelinha;0.20-0.25 m;3;1.09;1.12;0.38;81.3298;LVAd_Entrelinha_0.20-0.25 m;LVAd_Entrelinha_0.20-0.25 m_3
LVAd;33;Linha;0.00-0.05 m;1;0.9;0.95;0.35;82.8709;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_1
LVAd;33;Linha;0.00-0.05 m;2;0.98;1;0.36;84.6122;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_2
LVAd;33;Linha;0.00-0.05 m;3;1.13;1.13;0.42;91.0768;LVAd_Linha_0.00-0.05 m;LVAd_Linha_0.00-0.05 m_3
LVAd;33;Linha;0.10-0.15 m;1;0.95;0.99;0.43;83.4008;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_1
LVAd;33;Linha;0.10-0.15 m;2;0.92;1.03;0.33;71.1931;LVAd_Linha_0.10-0.15 m;LVAd_Linha_0.10-0.15 m_2
